TIME,GEO,UNIT,INDX,COICOP,Value,Flag and Footnotes
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Sugar,114.8,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,"Coffee, tea and cocoa",:,
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Fruit and vegetables juices ,84.7,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Wine from grapes,71.9,e
2005M01,France,"Index, 2015=100",Agricultural commodity price index,Beer,61.4,e
2005M01,France,"Index, 2015=100",Import price index,Food,69.6,
2005M01,France,"Index, 2015=100",Import price index,Bread and cereals,72.3,
2005M01,France,"Index, 2015=100",Import price index,Bread,67.1,
2005M01,France,"Index, 2015=100",Import price index,Meat,77.3,
2005M01,France,"Index, 2015=100",Import price index,Beef and veal,67.6,
2005M01,France,"Index, 2015=100",Import price index,Pork,84.3,
2005M01,France,"Index, 2015=100",Import price index,Lamb and goat,71,
2005M01,France,"Index, 2015=100",Import price index,Poultry,78.8,
2005M01,France,"Index, 2015=100",Import price index,Fish and seafood,64.7,
2005M01,France,"Index, 2015=100",Import price index,"Milk, cheese and eggs",84.1,
2005M01,France,"Index, 2015=100",Import price index,Fresh whole milk ,79.2,
2005M01,France,"Index, 2015=100",Import price index,Yoghurt,82.8,
2005M01,France,"Index, 2015=100",Import price index,Cheese and curd,89,
2005M01,France,"Index, 2015=100",Import price index,Eggs,63.4,
2005M01,France,"Index, 2015=100",Import price index,Oils and fats,62.6,
2005M01,France,"Index, 2015=100",Import price index,Butter,89.1,
2005M01,France,"Index, 2015=100",Import price index,Olive oil,65,
2005M01,France,"Index, 2015=100",Import price index,Other edible oils,59.4,
2005M01,France,"Index, 2015=100",Import price index,Fruit,56.2,
2005M01,France,"Index, 2015=100",Import price index,Vegetables,80.7,
2005M01,France,"Index, 2015=100",Import price index,Potatoes,67.2,
2005M01,France,"Index, 2015=100",Import price index,Sugar,123.1,
2005M01,France,"Index, 2015=100",Import price index,"Coffee, tea and cocoa",62.2,
2005M01,France,"Index, 2015=100",Import price index,Fruit and vegetables juices ,70.7,
2005M01,France,"Index, 2015=100",Import price index,Wine from grapes,77.8,
2005M01,France,"Index, 2015=100",Import price index,Beer,81.8,
2005M01,France,Percentage change m/m-12,Producer price index,Food,:,c
2005M01,France,Percentage change m/m-12,Producer price index,Bread and cereals,-5.9,
2005M01,France,Percentage change m/m-12,Producer price index,Bread,-1.5,
2005M01,France,Percentage change m/m-12,Producer price index,Meat,4.3,
2005M01,France,Percentage change m/m-12,Producer price index,Beef and veal,:,
2005M01,France,Percentage change m/m-12,Producer price index,Pork,:,
2005M01,France,Percentage change m/m-12,Producer price index,Lamb and goat,:,
2005M01,France,Percentage change m/m-12,Producer price index,Poultry,-0.2,
2005M01,France,Percentage change m/m-12,Producer price index,Fish and seafood,:,c
2005M01,France,Percentage change m/m-12,Producer price index,"Milk, cheese and eggs",:,
2005M01,France,Percentage change m/m-12,Producer price index,Fresh whole milk ,:,
2005M01,France,Percentage change m/m-12,Producer price index,Yoghurt,:,
2005M01,France,Percentage change m/m-12,Producer price index,Cheese and curd,:,
2005M01,France,Percentage change m/m-12,Producer price index,Eggs,:,
2005M01,France,Percentage change m/m-12,Producer price index,Oils and fats,-2.6,
2005M01,France,Percentage change m/m-12,Producer price index,Butter,:,
2005M01,France,Percentage change m/m-12,Producer price index,Olive oil,:,
2005M01,France,Percentage change m/m-12,Producer price index,Other edible oils,:,c
2005M01,France,Percentage change m/m-12,Producer price index,Fruit,:,
2005M01,France,Percentage change m/m-12,Producer price index,Vegetables,:,
2005M01,France,Percentage change m/m-12,Producer price index,Potatoes,:,
2005M01,France,Percentage change m/m-12,Producer price index,Sugar,-0.4,
2005M01,France,Percentage change m/m-12,Producer price index,"Coffee, tea and cocoa",:,c
2005M01,France,Percentage change m/m-12,Producer price index,Fruit and vegetables juices ,:,c
2005M01,France,Percentage change m/m-12,Producer price index,Wine from grapes,-5,
2005M01,France,Percentage change m/m-12,Producer price index,Beer,2.3,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Food,-0.5,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Bread and cereals,0.3,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Bread,1.8,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Meat,1.6,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Beef and veal,4.3,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Pork,3.2,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Lamb and goat,3.5,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Poultry,0.1,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Fish and seafood,-0.1,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,"Milk, cheese and eggs",-1.4,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Fresh whole milk ,-0.2,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Yoghurt,-2.4,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Cheese and curd,-0.7,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Eggs,-2.9,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Oils and fats,-0.8,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Butter,-1.1,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Olive oil,1.9,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Other edible oils,-4,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Fruit,-5.5,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Vegetables,-3.8,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Potatoes,:,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Sugar,0.5,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,"Coffee, tea and cocoa",-1.7,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Fruit and vegetables juices ,-2.1,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Wine from grapes,1.6,
2005M01,France,Percentage change m/m-12,Harmonised index of consumer prices,Beer,-0.1,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Food,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Bread and cereals,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Bread,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Meat,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Beef and veal,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Pork,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Lamb and goat,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Poultry,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Fish and seafood,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,"Milk, cheese and eggs",:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Fresh whole milk ,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Yoghurt,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Cheese and curd,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Eggs,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Oils and fats,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Butter,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Olive oil,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Other edible oils,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Fruit,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Vegetables,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Potatoes,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Sugar,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,"Coffee, tea and cocoa",:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Fruit and vegetables juices ,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Wine from grapes,:,
2005M01,France,Percentage change m/m-12,Agricultural commodity price index,Beer,:,
2005M01,France,Percentage change m/m-12,Import price index,Food,0.3,
2005M01,France,Percentage change m/m-12,Import price index,Bread and cereals,-3.5,
2005M01,France,Percentage change m/m-12,Import price index,Bread,1.1,
2005M01,France,Percentage change m/m-12,Import price index,Meat,7.1,
2005M01,France,Percentage change m/m-12,Import price index,Beef and veal,8.7,
2005M01,France,Percentage change m/m-12,Import price index,Pork,14.2,
2005M01,France,Percentage change m/m-12,Import price index,Lamb and goat,2.9,
2005M01,France,Percentage change m/m-12,Import price index,Poultry,1.8,
2005M01,France,Percentage change m/m-12,Import price index,Fish and seafood,2.4,
2005M01,France,Percentage change m/m-12,Import price index,"Milk, cheese and eggs",-2,
2005M01,France,Percentage change m/m-12,Import price index,Fresh whole milk ,-5.2,
2005M01,France,Percentage change m/m-12,Import price index,Yoghurt,1,
2005M01,France,Percentage change m/m-12,Import price index,Cheese and curd,-0.3,
2005M01,France,Percentage change m/m-12,Import price index,Eggs,-14.6,
2005M01,France,Percentage change m/m-12,Import price index,Oils and fats,2.5,
2005M01,France,Percentage change m/m-12,Import price index,Butter,-3.4,
2005M01,France,Percentage change m/m-12,Import price index,Olive oil,10.5,
2005M01,France,Percentage change m/m-12,Import price index,Other edible oils,4.6,
2005M01,France,Percentage change m/m-12,Import price index,Fruit,-1.7,
2005M01,France,Percentage change m/m-12,Import price index,Vegetables,8.5,
2005M01,France,Percentage change m/m-12,Import price index,Potatoes,-7.7,
2005M01,France,Percentage change m/m-12,Import price index,Sugar,-0.2,
2005M01,France,Percentage change m/m-12,Import price index,"Coffee, tea and cocoa",-1.3,
2005M01,France,Percentage change m/m-12,Import price index,Fruit and vegetables juices ,-6.5,
2005M01,France,Percentage change m/m-12,Import price index,Wine from grapes,-3.2,
2005M01,France,Percentage change m/m-12,Import price index,Beer,-1.2,
2005M02,France,"Index, 2015=100",Producer price index,Food,90.9,
2005M02,France,"Index, 2015=100",Producer price index,Bread and cereals,81.6,
2005M02,France,"Index, 2015=100",Producer price index,Bread,87.3,
2005M02,France,"Index, 2015=100",Producer price index,Meat,93.1,
2005M02,France,"Index, 2015=100",Producer price index,Beef and veal,:,
2005M02,France,"Index, 2015=100",Producer price index,Pork,:,
2005M02,France,"Index, 2015=100",Producer price index,Lamb and goat,:,
2005M02,France,"Index, 2015=100",Producer price index,Poultry,83.9,
2005M02,France,"Index, 2015=100",Producer price index,Fish and seafood,:,c
2005M02,France,"Index, 2015=100",Producer price index,"Milk, cheese and eggs",:,
2005M02,France,"Index, 2015=100",Producer price index,Fresh whole milk ,:,
2005M02,France,"Index, 2015=100",Producer price index,Yoghurt,:,
2005M02,France,"Index, 2015=100",Producer price index,Cheese and curd,:,
2005M02,France,"Index, 2015=100",Producer price index,Eggs,:,
2005M02,France,"Index, 2015=100",Producer price index,Oils and fats,75.2,
2005M02,France,"Index, 2015=100",Producer price index,Butter,:,
2005M02,France,"Index, 2015=100",Producer price index,Olive oil,:,
2005M02,France,"Index, 2015=100",Producer price index,Other edible oils,:,c
2005M02,France,"Index, 2015=100",Producer price index,Fruit,:,
2005M02,France,"Index, 2015=100",Producer price index,Vegetables,:,
2005M02,France,"Index, 2015=100",Producer price index,Potatoes,:,
2005M02,France,"Index, 2015=100",Producer price index,Sugar,158.1,
2005M02,France,"Index, 2015=100",Producer price index,"Coffee, tea and cocoa",:,c
2005M02,France,"Index, 2015=100",Producer price index,Fruit and vegetables juices ,:,c
2005M02,France,"Index, 2015=100",Producer price index,Wine from grapes,75,
2005M02,France,"Index, 2015=100",Producer price index,Beer,75,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Food,86.56,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Bread and cereals,88.36,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Bread,84.51,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Meat,81.6,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Beef and veal,75.99,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Pork,79.83,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Lamb and goat,76,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Poultry,73.77,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Fish and seafood,84.29,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,"Milk, cheese and eggs",91.73,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Fresh whole milk ,81.03,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Yoghurt,101.17,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Cheese and curd,91.22,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Eggs,89.02,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Oils and fats,83.64,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Butter,90.13,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Olive oil,84.74,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Other edible oils,73.3,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Fruit,78.8,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Vegetables,87.59,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Potatoes,:,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Sugar,106.85,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,"Coffee, tea and cocoa",83.51,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Fruit and vegetables juices ,85.84,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Wine from grapes,81.04,
2005M02,France,"Index, 2015=100",Harmonised index of consumer prices,Beer,80.58,
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Food,76,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Bread and cereals,58.7,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Bread,56.3,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Meat,84.7,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Beef and veal,82.8,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Pork,97.4,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Lamb and goat,79,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Poultry,75.6,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Fish and seafood,:,
2005M02,France,"Index, 2015=100",Agricultural commodity price index,"Milk, cheese and eggs",88.5,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Fresh whole milk ,92.1,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Yoghurt,92.1,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Cheese and curd,92.1,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Eggs,58.5,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Oils and fats,55.5,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Butter,92.8,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Olive oil,:,
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Other edible oils,55.5,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Fruit,85.3,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Vegetables,99.4,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Potatoes,56.3,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Sugar,116.2,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,"Coffee, tea and cocoa",:,
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Fruit and vegetables juices ,83.6,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Wine from grapes,71,e
2005M02,France,"Index, 2015=100",Agricultural commodity price index,Beer,57.9,e
2005M02,France,"Index, 2015=100",Import price index,Food,70.1,
2005M02,France,"Index, 2015=100",Import price index,Bread and cereals,73.6,
2005M02,France,"Index, 2015=100",Import price index,Bread,64.9,
2005M02,France,"Index, 2015=100",Import price index,Meat,77.3,
2005M02,France,"Index, 2015=100",Import price index,Beef and veal,68.7,
2005M02,France,"Index, 2015=100",Import price index,Pork,83.6,
2005M02,France,"Index, 2015=100",Import price index,Lamb and goat,69.5,
2005M02,France,"Index, 2015=100",Import price index,Poultry,78.4,
2005M02,France,"Index, 2015=100",Import price index,Fish and seafood,64.5,
2005M02,France,"Index, 2015=100",Import price index,"Milk, cheese and eggs",83.3,
2005M02,France,"Index, 2015=100",Import price index,Fresh whole milk ,77.3,
2005M02,France,"Index, 2015=100",Import price index,Yoghurt,83.5,
2005M02,France,"Index, 2015=100",Import price index,Cheese and curd,86.1,
2005M02,France,"Index, 2015=100",Import price index,Eggs,63.5,
2005M02,France,"Index, 2015=100",Import price index,Oils and fats,63.8,
2005M02,France,"Index, 2015=100",Import price index,Butter,88.9,
2005M02,France,"Index, 2015=100",Import price index,Olive oil,67.8,
2005M02,France,"Index, 2015=100",Import price index,Other edible oils,61,
2005M02,France,"Index, 2015=100",Import price index,Fruit,59,
2005M02,France,"Index, 2015=100",Import price index,Vegetables,82.1,
2005M02,France,"Index, 2015=100",Import price index,Potatoes,66,
2005M02,France,"Index, 2015=100",Import price index,Sugar,119.8,
2005M02,France,"Index, 2015=100",Import price index,"Coffee, tea and cocoa",63.3,
2005M02,France,"Index, 2015=100",Import price index,Fruit and vegetables juices ,70.4,
2005M02,France,"Index, 2015=100",Import price index,Wine from grapes,82.5,
2005M02,France,"Index, 2015=100",Import price index,Beer,84.8,
2005M02,France,Percentage change m/m-12,Producer price index,Food,-0.8,
2005M02,France,Percentage change m/m-12,Producer price index,Bread and cereals,-7.2,
2005M02,France,Percentage change m/m-12,Producer price index,Bread,-1.1,
2005M02,France,Percentage change m/m-12,Producer price index,Meat,3.3,
2005M02,France,Percentage change m/m-12,Producer price index,Beef and veal,:,
2005M02,France,Percentage change m/m-12,Producer price index,Pork,:,
2005M02,France,Percentage change m/m-12,Producer price index,Lamb and goat,:,
2005M02,France,Percentage change m/m-12,Producer price index,Poultry,-1.1,
2005M02,France,Percentage change m/m-12,Producer price index,Fish and seafood,:,c
2005M02,France,Percentage change m/m-12,Producer price index,"Milk, cheese and eggs",:,
2005M02,France,Percentage change m/m-12,Producer price index,Fresh whole milk ,:,
2005M02,France,Percentage change m/m-12,Producer price index,Yoghurt,:,
2005M02,France,Percentage change m/m-12,Producer price index,Cheese and curd,:,
2005M02,France,Percentage change m/m-12,Producer price index,Eggs,:,
2005M02,France,Percentage change m/m-12,Producer price index,Oils and fats,-3.7,
2005M02,France,Percentage change m/m-12,Producer price index,Butter,:,
2005M02,France,Percentage change m/m-12,Producer price index,Olive oil,:,
2005M02,France,Percentage change m/m-12,Producer price index,Other edible oils,:,c
2005M02,France,Percentage change m/m-12,Producer price index,Fruit,:,
2005M02,France,Percentage change m/m-12,Producer price index,Vegetables,:,
2005M02,France,Percentage change m/m-12,Producer price index,Potatoes,:,
2005M02,France,Percentage change m/m-12,Producer price index,Sugar,-1.4,
2005M02,France,Percentage change m/m-12,Producer price index,"Coffee, tea and cocoa",:,c
2005M02,France,Percentage change m/m-12,Producer price index,Fruit and vegetables juices ,:,c
2005M02,France,Percentage change m/m-12,Producer price index,Wine from grapes,-5.3,
2005M02,France,Percentage change m/m-12,Producer price index,Beer,1.2,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Food,0.7,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Bread and cereals,0.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Bread,1.9,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Meat,1.7,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Beef and veal,4.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Pork,4.2,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Lamb and goat,3.2,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Poultry,0.2,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Fish and seafood,-0.3,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,"Milk, cheese and eggs",-1.5,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Fresh whole milk ,-0.6,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Yoghurt,-3.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Cheese and curd,-0.5,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Eggs,-3.4,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Oils and fats,-0.7,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Butter,-0.7,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Olive oil,2.5,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Other edible oils,-4.7,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Fruit,-2.9,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Vegetables,7.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Potatoes,:,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Sugar,-0.5,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,"Coffee, tea and cocoa",-2.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Fruit and vegetables juices ,-2.1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Wine from grapes,1,
2005M02,France,Percentage change m/m-12,Harmonised index of consumer prices,Beer,-0.3,
2005M02,France,Percentage change m/m-12,Agricultural commodity price index,Food,:,
2005M02,France,Percentage change m/m-12,Agricultural commodity price index,Bread and cereals,:,
2005M02,France,Percentage change m/m-12,Agricultural commodity price index,Bread,:,
2005M02,France,Percentage change m/m-12,Agricultural commodity price index,Meat,:,
